Carousel_ID,Slide_1_Title,Slide_1_Subtitle,Slide_2_Title,Slide_2_Bullet_1,Slide_2_Bullet_2,Slide_2_Bullet_3,Slide_3_Title,Slide_3_Subtitle,Slide_4_Title,Slide_4_Subtitle,Slide_5_Title,Slide_6_Title,Slide_6_Subtitle
1,"Profitable on paper. Cash poor.","The silent killer of scaling businesses.","Why cash flow stops growth.","Waiting 90 days for payment.","Unable to buy new stock.","Missing out on bulk discounts.","Your ledger holds your cash.","But it doesn't have to stay there.","Invoice Finance changes the timeline.","Access up to 90% of your invoice value within 24 hours.","Stop acting as a bank.","Unlock your cash flow today.","Speak to the experts at Boxx Finance."
2,"Loyalty costs you money.","Why sticking with your bank is expensive.","The high-street lending problem.","Strict, outdated criteria.","Painfully slow decision making.","Zero market comparison.","The market is much wider.","Alternative lenders want to fund your business.","Independent brokers find the margin.","We compare the whole market to structure your debt properly.","Better rates. Better structure.","Review your current facilities.","Get an independent assessment from Boxx Finance."
3,"Need funding without property?","Unsecured lending is faster than you think.","When to use Unsecured Loans.","Rapid cash flow injection.","Purchasing new equipment.","Paying an unexpected tax bill.","No property security required.","Funding based on your trading history and revenue.","Decisions made in hours.","Not weeks. Get the capital you need to keep moving forward.","Fast, flexible growth capital.","Secure your funding quickly.","Discuss your options with Boxx Finance."
4,"The quarterly cash wipeout.","Is your VAT bill halting your momentum?","The hidden cost of tax bills.","Drains working capital.","Halts immediate investment plans.","Creates unnecessary stress.","Don't use cash for tax.","Protect your liquidity by spreading the cost.","Dedicated Tax & VAT Funding.","Spread your HMRC liabilities over 3, 6, or 12 months.","Keep your cash in-house.","Smooth out your cash flow.","Arrange your VAT funding with Boxx Finance."
5,"Renting vs. Buying premises.","Building equity instead of paying a landlord.","The commercial mortgage advantage.","Fixed, predictable monthly costs.","Capital appreciation on the asset.","Subletting for extra income.","It's different to residential.","Rates, deposits, and timelines are entirely commercial.","Presentation is everything.","Lenders review the business behind the property. We package the deal.","Own your commercial space.","Structure your purchase properly.","Start your commercial mortgage application today."
6,"Bridging the funding gap.","When speed is more important than cost.","Why use bridging finance?","Securing auction purchases.","Refurbishment before refinancing.","Buying a property before selling another.","It is short term.","Usually 3 to 18 months, giving you breathing room.","We move exceptionally fast.","We can secure terms and draw down funds in days.","Don't lose the deal.","Act fast when opportunities arise.","Contact Boxx Finance for rapid bridging rates."
7,"Your equipment is an asset.","Stop paying cash for depreciating machinery.","The asset finance advantage.","Preserve your working capital.","Tax-efficient monthly payments.","Upgrade technology without the massive upfront hit.","We finance almost anything.","From yellow plant machinery to office IT infrastructure.","Keep your cash in the bank.","Use our money to buy the equipment your business needs to grow.","Scale your operations efficiently.","Upgrade your assets today.","Let Boxx Finance secure your equipment finance."
8,"Refusal is not the end.","Why did the bank say no?","Common reasons for high-street rejections.","Sector outside their risk appetite.","Historical CCJs or blips.","Lack of three years filed accounts.","We look beyond the computer says no.","We focus on the strength of the business today and tomorrow.","We have access to specialist lenders.","Challenger banks and private funds actively looking to lend.","There is almost always a way.","Don't accept the first no.","Let Boxx Finance find the lender who will say yes."
9,"The true cost of growth.","Growth creates pressure first.","Growth follows predictable stages.","1. Heavy investment phase.","2. Operational ramp up.","3. Revenue finally stabilises.","Cash leaves in stage one.","Revenue only catches up in stage three.","Most businesses fund this badly.","They use their cash reserves and instantly reduce liquidity.","Liquidity is strategic.","Structure growth properly.","Discuss your expansion plans with us."
10,"Trade finance explained.","How to fulfill huge orders without the cash.","The supply chain problem.","You secure a massive contract.","Your supplier demands payment upfront.","Your end-client pays in 60 days.","The cash flow gap.","You cannot fulfill the order without emptying your bank account.","Trade finance pays the supplier.","We arrange a facility to pay your factory, and you repay when the goods arrive.","Take on bigger contracts.","Never turn away work again.","Let Boxx Finance fund your supply chain."
11,"Acquiring a competitor?","How to properly fund an M&A deal.","The anatomy of a buyout.","Structuring the initial consideration.","Managing deferred payments.","Protecting the target company's cash flow.","Leverage their assets, not yours.","We can use the target company's ledger or machinery to fund the acquisition.","Complex deals require expertise.","Our team has structured multi-million pound management buyouts.","Scale through acquisition.","Have a target in mind?","Speak confidentially with our structured finance team."
12,"Property developers take note.","Funding your next ground-up project.","What development lenders look for.","A solid, credible exit strategy.","Experience in similar sized completed projects.","A realistic Gross Development Value (GDV).","We know the development market.","From light refurbishment to multi-unit major residential sites.","We secure higher leverage.","Stretching your capital further so you can run multiple sites.","Build more. Build faster.","Fund your next site properly.","Send your appraisal to Boxx Finance."
13,"Is your business seasonal?","Surviving the quiet months without stress.","The seasonal cash flow headache.","Huge revenue in Q4.","Massive inventory costs in Q3.","Dead periods in Q1 and Q2.","Revolving credit is your friend.","A flexible facility you only use (and pay for) when you need it.","Treat it like a massive overdraft.","Draw down funds to buy stock, repay it when the season ends.","Flexibility is key.","Smooth out the peaks and troughs.","Set up a revolving facility with Boxx Finance."
14,"The merchant cash advance.","The fastest funding for retail and hospitality.","How an MCA works.","We review your PDQ card terminal statements.","We advance you a lump sum up to 150% of your monthly takings.","You repay a small percentage of future card sales.","No fixed monthly payments.","If you have a slow week, you simply pay back less that week.","Perfect for quick refurbishments.","Or buying seasonal stock without taking on fixed loans.","Flexible retail funding.","Get a decision in 24 hours.","Apply for an MCA with Boxx Finance."
15,"Directors loans explained.","Putting your own money into the business?","The risk of directors loans.","Your personal capital is tied up.","Zero return on the risk you are taking.","Difficult to extract quickly if you need it.","Refinance your own money out.","We can arrange a commercial facility to replace your director's loan.","Get your capital back.","Put the risk back onto the business where it belongs.","Protect your personal wealth.","Extract your cash.","Speak to Boxx Finance about refinancing."
